epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,21.7191,0.81459,0.32386,0.11228,0.50862,1.03165,0.99894,1,0.995,0.7872,0.99894,1,0.995,0.92683,0.758,0.36014,0.00954,0.42248,1.01538,0.0012278,0.0012278,0.0012278
41,22.2304,0.78092,0.32078,0.10904,0.49449,1.0162,0.99893,1,0.995,0.80512,0.99893,1,0.995,0.92693,0.69122,0.36278,0.00927,0.39357,0.97656,0.001208,0.001208,0.001208
42,22.7255,0.81733,0.33561,0.11768,0.47004,1.02746,0.99901,1,0.995,0.75621,0.99901,1,0.995,0.9353,0.92742,0.35547,0.01065,0.43111,1.05514,0.0011882,0.0011882,0.0011882
43,23.2222,0.8699,0.33107,0.10843,0.47631,1.03544,0.99907,1,0.995,0.73971,0.99907,1,0.995,0.93572,0.94982,0.35191,0.0112,0.45287,1.07485,0.0011684,0.0011684,0.0011684
44,23.7177,0.80786,0.32993,0.12127,0.4758,0.96853,0.99905,1,0.995,0.77657,0.99905,1,0.995,0.93673,0.78613,0.35352,0.01061,0.43955,1.01854,0.0011486,0.0011486,0.0011486
45,24.2108,0.80267,0.32439,0.11488,0.48507,0.99722,0.99899,1,0.995,0.79722,0.99899,1,0.995,0.92841,0.75542,0.35749,0.01004,0.42529,0.99435,0.0011288,0.0011288,0.0011288
46,24.6975,0.82689,0.31681,0.11097,0.50358,0.98818,0.99899,1,0.995,0.79722,0.99899,1,0.995,0.92841,0.75542,0.35749,0.01004,0.42529,0.99435,0.001109,0.001109,0.001109
47,25.1874,0.73654,0.31416,0.09957,0.4533,0.98752,0.99899,1,0.995,0.73098,0.99899,1,0.995,0.92725,0.9529,0.35521,0.01085,0.45138,1.07225,0.0010892,0.0010892,0.0010892
48,25.6875,0.81389,0.31218,0.14481,0.51503,1.00076,0.99898,1,0.995,0.77056,0.99898,1,0.995,0.92844,0.8512,0.3461,0.01047,0.42708,1.0256,0.0010694,0.0010694,0.0010694
49,26.1783,0.76152,0.31823,0.12172,0.45954,0.98781,0.99895,1,0.995,0.82054,0.99895,1,0.995,0.93422,0.64962,0.33933,0.00924,0.39508,0.95593,0.0010496,0.0010496,0.0010496
50,26.6821,0.74253,0.32088,0.10853,0.45522,0.95862,0.99902,1,0.995,0.83233,0.99902,1,0.995,0.93837,0.65009,0.33368,0.00863,0.39074,0.95287,0.0010298,0.0010298,0.0010298
51,27.1827,0.71845,0.28553,0.09626,0.44427,0.98719,0.99904,1,0.995,0.78668,0.99904,1,0.995,0.94987,0.83745,0.33083,0.00851,0.40982,1.01278,0.00101,0.00101,0.00101
52,27.67,0.80048,0.32327,0.14302,0.48267,1.04642,0.99908,1,0.995,0.77918,0.99908,1,0.995,0.94429,0.83926,0.32497,0.00816,0.40749,1.01436,0.0009902,0.0009902,0.0009902
53,28.1638,0.78018,0.3033,0.09509,0.45242,0.98105,0.99908,1,0.995,0.81982,0.99908,1,0.995,0.93932,0.67115,0.31888,0.00817,0.36634,0.95551,0.0009704,0.0009704,0.0009704
54,28.6484,0.64467,0.2861,0.08945,0.40569,0.92777,0.99908,1,0.995,0.81982,0.99908,1,0.995,0.93932,0.67115,0.31888,0.00817,0.36634,0.95551,0.0009506,0.0009506,0.0009506
55,29.1686,0.66048,0.32933,0.11048,0.41894,0.95254,0.99911,1,0.995,0.82213,0.99911,1,0.995,0.93068,0.65981,0.31547,0.00912,0.36142,0.96343,0.0009308,0.0009308,0.0009308
56,29.6562,0.66583,0.29985,0.08621,0.40403,0.92373,0.99911,1,0.995,0.83388,0.99911,1,0.995,0.92943,0.65785,0.31412,0.00952,0.36672,0.95347,0.000911,0.000911,0.000911
57,30.1451,0.65223,0.28845,0.09484,0.40643,0.94221,0.9991,1,0.995,0.81939,0.9991,1,0.995,0.93364,0.70717,0.3075,0.00832,0.36888,0.96523,0.0008912,0.0008912,0.0008912
58,30.6463,0.72697,0.2675,0.15584,0.42396,0.99662,0.99907,1,0.995,0.82782,0.99907,1,0.995,0.92912,0.6323,0.30122,0.0075,0.3548,0.94223,0.0008714,0.0008714,0.0008714
59,31.1547,0.75761,0.26724,0.12381,0.43447,1.02338,0.99905,1,0.995,0.79205,0.99905,1,0.995,0.92691,0.69683,0.29144,0.00731,0.37783,0.98197,0.0008516,0.0008516,0.0008516
60,31.667,0.72389,0.25963,0.09504,0.43595,0.96958,0.99903,1,0.995,0.78789,0.99903,1,0.995,0.93985,0.72021,0.28569,0.00792,0.39472,0.99741,0.0008318,0.0008318,0.0008318
61,32.1822,0.7311,0.25857,0.11266,0.43964,0.99679,0.99901,1,0.995,0.81118,0.99901,1,0.995,0.94147,0.68381,0.28291,0.00892,0.38908,0.96416,0.000812,0.000812,0.000812
62,32.6881,0.65953,0.27819,0.10047,0.42159,0.93745,0.99901,1,0.995,0.81118,0.99901,1,0.995,0.94147,0.68381,0.28291,0.00892,0.38908,0.96416,0.0007922,0.0007922,0.0007922
63,33.2059,0.72716,0.25091,0.0986,0.43693,0.96477,0.99902,1,0.995,0.79538,0.99902,1,0.995,0.94893,0.75444,0.27654,0.00953,0.3942,0.98026,0.0007724,0.0007724,0.0007724
64,33.7144,0.66752,0.28182,0.11773,0.41558,0.93579,0.99902,1,0.995,0.80915,0.99902,1,0.995,0.95343,0.69923,0.27021,0.00945,0.37055,0.95958,0.0007526,0.0007526,0.0007526
65,34.2103,0.665,0.26446,0.13759,0.42065,0.96543,0.99906,1,0.995,0.83504,0.99906,1,0.995,0.95728,0.61153,0.26677,0.00909,0.34606,0.93248,0.0007328,0.0007328,0.0007328
66,34.7243,0.68718,0.2517,0.11409,0.41975,0.95671,0.99907,1,0.995,0.83661,0.99907,1,0.995,0.9549,0.61009,0.26937,0.0089,0.34396,0.93627,0.000713,0.000713,0.000713
67,35.2229,0.63404,0.22288,0.09632,0.39343,0.96038,0.99904,1,0.995,0.82466,0.99904,1,0.995,0.94952,0.64606,0.27517,0.00867,0.35666,0.94032,0.0006932,0.0006932,0.0006932
68,35.7231,0.62884,0.24253,0.10869,0.40306,0.96705,0.99898,1,0.995,0.81005,0.99898,1,0.995,0.95632,0.70824,0.26065,0.00726,0.35932,0.95805,0.0006734,0.0006734,0.0006734
69,36.2147,0.64599,0.25708,0.10467,0.39534,0.93123,0.99892,1,0.995,0.82907,0.99892,1,0.995,0.96425,0.67001,0.24991,0.00625,0.34745,0.94567,0.0006536,0.0006536,0.0006536
70,36.7103,0.61418,0.2486,0.10448,0.37748,0.92642,0.99892,1,0.995,0.82907,0.99892,1,0.995,0.96425,0.67001,0.24991,0.00625,0.34745,0.94567,0.0006338,0.0006338,0.0006338
71,37.2103,0.5936,0.218,0.08671,0.36946,0.91974,0.99892,1,0.995,0.8398,0.99892,1,0.995,0.96447,0.60435,0.24527,0.00641,0.32909,0.92545,0.000614,0.000614,0.000614
72,37.7161,0.66807,0.24461,0.13355,0.3981,0.95994,0.99892,1,0.995,0.83976,0.99892,1,0.995,0.96597,0.60858,0.24265,0.00656,0.32925,0.92636,0.0005942,0.0005942,0.0005942
73,38.2581,0.60352,0.22004,0.11135,0.3785,0.91936,0.99894,1,0.995,0.82384,0.99894,1,0.995,0.96073,0.68525,0.24167,0.00703,0.33862,0.94817,0.0005744,0.0005744,0.0005744
74,38.7482,0.57379,0.22092,0.10362,0.3686,0.91132,0.99895,1,0.995,0.82179,0.99895,1,0.995,0.95609,0.72052,0.23892,0.00776,0.35001,0.95955,0.0005546,0.0005546,0.0005546
75,39.2484,0.55557,0.23286,0.07119,0.35354,0.88818,0.99896,1,0.995,0.83552,0.99896,1,0.995,0.96013,0.65496,0.22876,0.00766,0.33679,0.93677,0.0005348,0.0005348,0.0005348
76,39.7359,0.58549,0.23569,0.10249,0.37227,0.90228,0.99896,1,0.995,0.83898,0.99896,1,0.995,0.96742,0.62729,0.21968,0.00688,0.33267,0.92641,0.000515,0.000515,0.000515
77,40.2467,0.57798,0.20638,0.10975,0.37186,0.93753,0.99898,1,0.995,0.83211,0.99898,1,0.995,0.96548,0.63426,0.20691,0.00607,0.32861,0.92743,0.0004952,0.0004952,0.0004952
78,40.7273,0.58787,0.20098,0.10264,0.35406,0.89537,0.99898,1,0.995,0.83211,0.99898,1,0.995,0.96548,0.63426,0.20691,0.00607,0.32861,0.92743,0.0004754,0.0004754,0.0004754
79,41.2179,0.56491,0.20955,0.10219,0.34944,0.88236,0.99897,1,0.995,0.84309,0.99897,1,0.995,0.96742,0.61617,0.19984,0.00575,0.31814,0.92209,0.0004556,0.0004556,0.0004556
80,41.7215,0.55373,0.17562,0.12088,0.35736,0.90415,0.99895,1,0.995,0.84117,0.99895,1,0.995,0.9716,0.59747,0.19315,0.00581,0.31704,0.91894,0.0004358,0.0004358,0.0004358
81,42.2246,0.58972,0.20441,0.12838,0.36556,0.91889,0.99899,1,0.995,0.84203,0.99899,1,0.995,0.97262,0.61212,0.18631,0.00598,0.31406,0.92394,0.000416,0.000416,0.000416
